x_acc,y_acc,z_acc,label
1663835670.2801676,1,000422, -000135, 017016
1663835670.280336,1,000422, -000135, 017016
1663835670.280336,1,000422, -000135, 017016
1663835670.281333,1,000422, -000135, 017016
1663835670.2814498,1,000422, -000135, 017016
1663835670.2814498,1,000422, -000135, 017016
1663835670.2824469,1,000422, -000135, 017016
1663835670.282617,1,000422, -000135, 017016
1663835670.282617,1,000443, -000124, 017081
1663835670.2836142,1,000443, -000124, 017081
1663835670.2837453,1,000443, -000124, 017081
1663835670.2837453,1,000443, -000124, 017081
1663835670.2847424,1,000443, -000124, 017081
1663835670.284878,1,000443, -000124, 017081
1663835670.284878,1,000443, -000124, 017081
1663835670.285875,1,000443, -000124, 017081
1663835670.285875,1,000443, -000124, 017081
1663835670.2862659,1,000443, -000124, 017081
1663835670.2862659,1,000443, -000124, 017081
1663835670.2872627,1,000428, -000156, 017015
1663835670.2873685,1,000428, -000156, 017015
1663835670.2873685,1,000428, -000156, 017015
1663835670.2883658,1,000428, -000156, 017015
1663835670.2884974,1,000428, -000156, 017015
1663835670.2884974,1,000428, -000156, 017015
1663835670.2894952,1,000428, -000156, 017015
1663835670.2894952,1,000428, -000156, 017015
1663835670.2894952,1,000428, -000156, 017015
1663835670.2904935,1,000428, -000156, 017015
1663835670.2907848,1,000439, -000106, 017044
1663835670.2907848,1,000439, -000106, 017044
1663835670.2907848,1,000439, -000106, 017044
1663835670.2921338,1,000439, -000106, 017044
1663835670.2921338,1,000439, -000106, 017044
1663835670.2921338,1,000439, -000106, 017044
1663835670.293131,1,000439, -000106, 017044
1663835670.2932563,1,000439, -000106, 017044
1663835670.2932563,1,000439, -000106, 017044
1663835670.2932563,1,000439, -000106, 017044
1663835670.2942536,1,000447, -000135, 017005
1663835670.2942536,1,000447, -000135, 017005
1663835670.2945845,1,000447, -000135, 017005
1663835670.2945845,1,000447, -000135, 017005
1663835670.2945845,1,000447, -000135, 017005
1663835670.2945845,1,000447, -000135, 017005
1663835670.295582,1,000447, -000135, 017005
1663835670.2958758,1,000447, -000135, 017005
1663835670.2958758,1,000447, -000135, 017005
1663835670.2958758,1,000447, -000135, 017005
1663835670.2968733,1,000429, -000138, 017087
1663835670.2970543,1,000429, -000138, 017087
1663835670.2970543,1,000429, -000138, 017087
1663835670.2970543,1,000429, -000138, 017087
1663835670.2970543,1,000429, -000138, 017087
1663835670.2980518,1,000429, -000138, 017087
1663835670.298333,1,000429, -000138, 017087
1663835670.298333,1,000429, -000138, 017087
1663835670.2993302,1,000429, -000138, 017087
1663835670.2994695,1,000429, -000138, 017087
1663835670.2994695,1,000392, -000138, 017026
1663835670.2994695,1,000392, -000138, 017026
1663835670.3004668,1,000392, -000138, 017026
1663835670.3005047,1,000392, -000138, 017026
1663835670.3005047,1,000392, -000138, 017026
1663835670.3005047,1,000392, -000138, 017026
1663835670.3015018,1,000392, -000138, 017026
1663835670.3015244,1,000392, -000138, 017026
1663835670.3015244,1,000392, -000138, 017026
1663835670.3015244,1,000392, -000138, 017026
1663835670.302522,1,000382, -000143, 017013
1663835670.3026223,1,000382, -000143, 017013
1663835670.3026223,1,000382, -000143, 017013
1663835670.3026223,1,000382, -000143, 017013
1663835670.3026223,1,000382, -000143, 017013
1663835670.3036194,1,000382, -000143, 017013
1663835670.3039203,1,000382, -000143, 017013
1663835670.3039203,1,000382, -000143, 017013
1663835670.3039203,1,000382, -000143, 017013
1663835670.3049176,1,000382, -000143, 017013
1663835670.3049767,1,000382, -000143, 017013
1663835670.3049767,1,000419, -000110, 017085
1663835670.3049767,1,000419, -000110, 017085
1663835670.3059738,1,000419, -000110, 017085
1663835670.3059738,1,000419, -000110, 017085
1663835670.3059738,1,000419, -000110, 017085
1663835670.3059738,1,000419, -000110, 017085
1663835670.3069708,1,000419, -000110, 017085
1663835670.3069708,1,000419, -000110, 017085
1663835670.3069708,1,000419, -000110, 017085
1663835670.3079686,1,000419, -000110, 017085
1663835670.3079686,1,000396, -000123, 017080
1663835670.3079686,1,000396, -000123, 017080
1663835670.3079686,1,000396, -000123, 017080
1663835670.308966,1,000396, -000123, 017080
1663835670.3090806,1,000396, -000123, 017080
1663835670.3090806,1,000396, -000123, 017080
1663835670.3090806,1,000396, -000123, 017080
1663835670.3100777,1,000396, -000123, 017080
1663835670.3100922,1,000396, -000123, 017080
1663835670.3100922,1,000396, -000123, 017080
1663835670.3100922,1,000398, -000125, 017012
1663835670.3100922,1,000398, -000125, 017012
1663835670.3110912,1,000398, -000125, 017012
